Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,104.370003,105.279999,104.199997,105.059998,104.257248,901300
2018-08-21,105.160004,106.750000,104.709999,106.199997,105.388542,870700
2018-08-22,106.019997,106.739998,105.870003,105.889999,105.080910,868200
2018-08-23,105.720001,105.900002,104.540001,104.919998,104.118317,1552900
2018-08-24,104.930000,105.300003,104.099998,104.199997,103.403824,986000
2018-08-27,103.769997,104.169998,101.750000,101.919998,101.141251,1535400
2018-08-28,102.080002,102.269997,101.059998,101.419998,100.645058,969500
2018-08-29,101.599998,101.620003,100.400002,100.900002,100.129044,1087500
2018-08-30,100.680000,101.059998,100.239998,100.500000,99.732094,808400
2018-08-31,100.230003,101.680000,100.230003,101.589996,100.813759,839400
2018-09-04,101.309998,102.849998,101.309998,102.559998,101.776344,857700
2018-09-05,102.169998,102.709999,101.779999,102.180000,101.399254,749400
2018-09-06,102.250000,103.080002,102.000000,102.800003,102.014519,928600
2018-09-07,103.070000,103.099998,102.029999,103.000000,102.212997,714900
2018-09-10,103.239998,104.010002,103.110001,103.389999,102.600014,625200
2018-09-11,103.360001,104.860001,102.889999,104.040001,103.245049,1087400
2018-09-12,102.919998,103.190002,101.430000,101.559998,100.783997,2725100
2018-09-13,102.000000,102.339996,99.750000,99.760002,98.997749,1240400
2018-09-14,99.760002,100.940002,99.559998,100.279999,99.513779,1179700
2018-09-17,100.339996,100.690002,97.970001,98.550003,97.796989,1302800
2018-09-18,98.430000,98.610001,97.709999,98.320000,97.568748,1028600
2018-09-19,98.570000,100.849998,98.290001,100.330002,99.563393,806100
2018-09-20,100.559998,101.779999,100.540001,100.790001,100.019882,812000
2018-09-21,100.699997,101.080002,100.139999,100.980003,100.208427,1471800
2018-09-24,100.500000,101.000000,99.720001,99.989998,99.225990,1190400
2018-09-25,100.089996,100.279999,99.599998,100.080002,99.315308,747500
2018-09-26,99.980003,100.480003,97.190002,97.360001,96.616081,1166600
2018-09-27,97.389999,97.629997,95.900002,95.970001,95.236710,920200
2018-09-28,95.660004,96.379997,95.379997,96.000000,95.266487,886000
2018-10-01,96.570000,96.839996,94.449997,94.769997,94.045876,883400
2018-10-02,94.480003,94.760002,93.269997,93.599998,92.884811,921300
2018-10-03,93.900002,96.459999,93.750000,96.110001,95.375641,1011100
2018-10-04,96.059998,97.599998,95.150002,95.400002,94.671066,1201700
2018-10-05,95.959999,95.989998,93.540001,93.779999,93.063438,1351300
2018-10-08,93.620003,94.419998,92.849998,94.080002,93.361153,1426500
2018-10-09,93.839996,94.919998,93.050003,94.290001,93.569542,1149400
2018-10-10,94.230003,95.070000,92.809998,92.879997,92.170311,1423300
2018-10-11,92.449997,93.720001,90.529999,90.839996,90.145889,2305200
2018-10-12,93.199997,93.730003,89.680000,93.120003,92.408485,3138100
2018-10-15,92.769997,93.160004,90.529999,91.330002,90.632156,1533200
2018-10-16,91.500000,91.919998,89.769997,90.750000,90.056587,3644400
2018-10-17,91.019997,92.230003,89.550003,91.559998,90.860397,1991300
2018-10-18,91.029999,91.349998,89.339996,89.980003,89.292480,1375500
2018-10-19,89.739998,90.959999,88.879997,89.879997,89.193230,1157700
2018-10-22,90.029999,90.389999,86.930000,87.410004,86.742111,1014300
2018-10-23,85.970001,88.519997,85.709999,88.169998,87.496307,1646500
2018-10-24,87.959999,87.989998,84.480003,85.019997,84.542961,1592700
2018-10-25,85.599998,88.190002,85.599998,87.269997,86.780342,1086200
2018-10-26,86.269997,87.169998,84.820000,86.620003,86.133995,1156800
2018-10-29,88.050003,90.349998,87.779999,89.510002,89.007782,1508000
2018-10-30,89.879997,91.570000,89.500000,91.400002,90.887177,1637200
2018-10-31,92.349998,93.379997,90.849998,90.989998,90.479469,1620700
2018-11-01,91.360001,93.320000,91.150002,92.839996,92.319092,1317300
