Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,111.489998,113.339996,111.110001,112.029999,109.021790,1246300
2018-11-20,111.959999,112.110001,107.949997,108.000000,105.099998,1895600
2018-11-21,107.989998,110.250000,107.070000,109.209999,106.277512,1116000
2018-11-23,108.919998,109.930000,108.519997,109.379997,106.442940,301800
2018-11-26,109.930000,111.099998,109.650002,110.699997,107.727493,1189300
2018-11-27,110.790001,111.830002,109.709999,111.559998,108.564400,1474300
2018-11-28,111.680000,113.910004,111.260002,113.220001,110.179840,953100
2018-11-29,113.000000,114.379997,111.930000,113.690002,110.637215,826300
2018-11-30,114.019997,115.129997,112.949997,115.040001,111.950966,1724000
2018-12-03,115.500000,116.000000,113.800003,115.889999,112.778137,1085300
2018-12-04,115.790001,116.900002,113.300003,113.599998,110.549629,1225600
2018-12-06,113.169998,117.019997,110.779999,116.900002,113.761017,1335000
2018-12-07,116.660004,117.440002,114.930000,115.720001,112.612709,916400
2018-12-10,116.489998,116.940002,114.089996,116.349998,113.225792,860400
2018-12-11,116.800003,117.870003,115.989998,116.790001,113.653969,1289000
2018-12-12,117.269997,117.669998,114.970001,115.599998,112.495926,1826300
2018-12-13,114.750000,116.879997,114.199997,115.360001,113.251862,764100
2018-12-14,114.940002,115.120003,112.739998,114.320000,112.230865,864000
2018-12-17,114.589996,114.589996,107.059998,107.510002,105.545311,1780000
2018-12-18,108.070000,109.570000,108.059998,109.000000,107.008087,1361700
2018-12-19,109.480003,110.500000,108.080002,108.510002,106.527039,1109700
2018-12-20,108.260002,108.830002,105.449997,106.099998,104.161079,1621100
2018-12-21,106.099998,109.180000,105.230003,106.099998,104.161079,2420500
2018-12-24,105.760002,105.760002,101.540001,102.410004,100.538513,1361200
2018-12-26,102.610001,104.730003,100.570000,104.680000,102.767029,1782700
2018-12-27,104.029999,105.050003,101.820000,104.809998,102.894653,1901300
2018-12-28,105.750000,107.339996,105.370003,106.070000,104.131630,1386900
2018-12-31,106.510002,106.910004,104.779999,106.550003,104.602859,1024900
2019-01-02,105.519997,105.639999,102.449997,103.190002,101.304260,1411800
2019-01-03,103.000000,105.680000,102.480003,102.669998,100.793755,1511600
2019-01-04,102.910004,105.330002,102.849998,104.809998,102.894653,1474300
2019-01-07,105.160004,107.050003,104.980003,106.199997,104.259254,1382900
2019-01-08,105.900002,107.750000,105.900002,107.339996,105.378418,1771600
2019-01-09,106.000000,106.449997,100.050003,101.830002,99.969116,3241800
2019-01-10,101.849998,105.300003,101.570000,105.080002,103.159721,1942300
2019-01-11,104.919998,106.699997,104.389999,106.639999,104.691208,1180100
2019-01-14,106.279999,106.900002,105.550003,106.510002,104.563591,1079700
2019-01-15,106.589996,108.269997,106.529999,107.290001,105.329330,1053400
2019-01-16,107.180000,107.860001,106.500000,106.940002,104.985733,966200
2019-01-17,106.529999,107.440002,106.230003,106.620003,104.671585,1096100
2019-01-18,106.900002,107.300003,105.220001,107.250000,105.290070,1180600
2019-01-22,106.889999,107.260002,104.220001,105.099998,103.179352,1942400
2019-01-23,105.190002,105.540001,102.599998,104.029999,102.128906,1468400
2019-01-24,104.029999,104.300003,103.250000,104.089996,102.187805,1346400
2019-01-25,104.150002,104.430000,102.820000,104.169998,102.266350,1876600
2019-01-28,103.879997,106.099998,103.029999,105.699997,103.768379,1454200
2019-01-29,105.680000,106.989998,105.330002,106.650002,104.701027,1441700
2019-01-30,106.379997,108.300003,106.379997,107.430000,105.466774,1316200
2019-01-31,107.239998,109.430000,106.389999,108.339996,106.360138,1495800
2019-02-01,108.550003,108.650002,106.389999,108.559998,106.576118,1279500
2019-02-04,108.410004,109.320000,107.260002,109.279999,107.282967,1149600
2019-02-05,109.279999,111.150002,109.220001,110.830002,108.804642,1634600
2019-02-06,109.750000,109.959999,106.889999,107.900002,105.928185,3407500
2019-02-07,108.849998,110.970001,107.839996,110.050003,108.038902,2473700
2019-02-08,110.129997,112.459999,109.330002,112.320000,110.267410,1760300
2019-02-11,112.040001,114.459999,112.040001,113.230003,111.160782,1800200
2019-02-12,113.540001,113.550003,111.489998,111.610001,109.570389,1262700
2019-02-13,110.709999,112.489998,110.260002,112.190002,110.139786,1225900
2019-02-14,112.190002,114.760002,111.910004,113.809998,111.730186,1740900
2019-02-15,114.430000,115.110001,112.970001,115.029999,112.927887,1289000
2019-02-19,115.000000,116.849998,114.260002,116.410004,114.282677,1517100
2019-02-20,116.309998,118.709999,116.000000,118.489998,116.324661,2554600
2019-02-21,118.010002,118.010002,116.050003,116.370003,114.243401,2518700
2019-02-22,116.730003,118.980003,116.169998,118.489998,116.324661,1122500
2019-02-25,118.669998,118.820000,117.010002,117.110001,114.969879,1669300
2019-02-26,117.699997,117.699997,114.750000,115.040001,112.937706,1483100
2019-02-27,114.099998,115.449997,113.290001,114.150002,112.063972,1531900
2019-02-28,114.129997,114.610001,112.010002,113.120003,111.052795,2838900
2019-03-01,113.680000,114.900002,113.089996,114.650002,112.554832,2058600
2019-03-04,115.160004,115.239998,112.199997,113.400002,111.327675,1416100
2019-03-05,113.110001,114.059998,113.000000,113.139999,111.072426,1408600
2019-03-06,113.290001,113.470001,112.379997,112.559998,110.503029,1027900
2019-03-07,112.959999,114.370003,112.459999,112.650002,110.591385,1803500
2019-03-08,112.660004,113.830002,111.300003,111.989998,109.943443,1389400
2019-03-11,112.550003,114.089996,112.400002,113.940002,111.857811,1421100
2019-03-12,114.339996,115.379997,114.070000,114.800003,112.702095,810400
2019-03-13,115.110001,116.800003,115.110001,115.970001,113.850716,1224000
2019-03-14,115.000000,115.500000,114.559998,115.370003,114.326370,900100
2019-03-15,115.519997,115.790001,114.889999,115.230003,114.187637,1578700
2019-03-18,115.370003,115.949997,114.910004,115.629997,114.584015,676000
2019-03-19,115.930000,116.440002,115.269997,115.629997,114.584015,745700
2019-03-20,115.669998,117.029999,115.000000,116.570000,115.515511,960700
2019-03-21,116.570000,119.559998,116.250000,119.410004,118.329826,818100
2019-03-22,119.480003,120.930000,119.080002,119.120003,118.042450,1068200
2019-03-25,118.610001,119.110001,117.680000,117.699997,116.635284,631800
2019-03-26,118.050003,118.959999,117.559998,118.889999,117.814522,744200
2019-03-27,118.870003,119.660004,117.669998,118.769997,117.695610,1641800
2019-03-28,118.910004,119.989998,118.480003,119.639999,118.557739,854400
2019-03-29,119.779999,119.779999,118.610001,119.000000,117.923531,1181700
2019-04-01,119.209999,120.120003,117.970001,120.029999,118.944214,809100
2019-04-02,120.279999,122.000000,119.389999,121.709999,120.609016,1114100
2019-04-03,121.870003,122.660004,120.820000,121.660004,120.559471,780300
2019-04-04,121.889999,122.260002,120.709999,121.930000,120.827026,483100
2019-04-05,122.010002,122.750000,121.739998,122.410004,121.302689,961500
2019-04-08,122.279999,122.669998,120.820000,121.410004,120.311737,1075600
2019-04-09,121.480003,121.949997,120.320000,120.529999,119.439690,1076300
2019-04-10,121.389999,122.080002,121.010002,121.980003,120.876579,996400
2019-04-11,121.980003,122.699997,120.970001,121.720001,120.618927,778800
2019-04-12,121.529999,122.760002,120.870003,122.730003,121.619789,782100
2019-04-15,122.879997,123.019997,121.480003,121.900002,120.797302,558600
2019-04-16,121.800003,122.300003,118.220001,119.070000,117.992897,862800
2019-04-17,119.169998,120.029999,117.559998,119.120003,118.042450,775900
2019-04-18,119.120003,120.980003,118.930000,120.449997,119.360413,863000
2019-04-22,120.010002,120.400002,118.099998,119.379997,118.300087,866600
2019-04-23,118.000000,119.919998,116.930000,117.300003,116.238914,1675900
2019-04-24,117.610001,119.790001,117.379997,119.260002,118.181183,1251900
2019-04-25,117.900002,120.410004,117.309998,119.809998,118.726204,1147600
2019-04-26,117.750000,118.000000,113.620003,116.790001,115.733521,2665500
2019-04-29,116.489998,118.239998,115.820000,117.120003,116.060539,1502000
2019-04-30,116.949997,118.790001,116.879997,117.709999,116.645203,1639300
2019-05-01,118.050003,119.129997,117.339996,117.639999,116.575836,1407100
2019-05-02,117.970001,120.809998,117.300003,118.800003,117.725342,1539400
2019-05-03,119.339996,121.010002,119.169998,120.699997,119.608147,1192400
2019-05-06,120.110001,120.419998,119.040001,119.389999,118.310005,1212800
2019-05-07,118.970001,119.440002,116.599998,117.419998,116.357819,1014600
2019-05-08,117.250000,119.250000,117.190002,117.680000,116.615471,808200
2019-05-09,117.389999,117.849998,115.790001,117.599998,116.536194,796400
